Birth Rate,Business Tax Rate,CO2 Emissions,Above Threshold?,GDP per Capita,Birth Rate Bin,Life Expectancy,Ease of Business (clusters),Country/Region,Days to Start Business,Ease of Business,Energy Usage,GDP per Capita (bin),GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
1.1%,39%,,Below Threshold,"$45,957",Below 1.5%,81,Very Friendly,Netherlands,5,30,78220,"$42,192",$770B,12.4%,"$5,737",127,0.004,93%,0.016,83,79,118%,1,0.172,0.663,0.164,16.8M,88.6%,Europe,$21B,$20B,12/1/2012
1.1%,20%,,Below Threshold,"$103,859",Below 1.5%,82,Friendly,Luxembourg,19,56,4080,"$103,136",$55B,6.9%,"$7,452",59,0.002,92%,,84,79,145%,1,0.175,0.685,0.141,0.5M,89.2%,Europe,$5B,$4B,12/1/2012
1.2%,31%,,Below Threshold,"$2,047",Below 1.5%,69,Friendly,Moldova,9,86,,$0,$7B,11.7%,$239,220,0.014,43%,0.134,73,65,102%,1,0.165,0.722,0.112,3.6M,44.9%,Europe,$0B,$0B,12/1/2012
1.2%,61%,,Below Threshold,"$6,722",Below 1.5%,73,Friendly,Belarus,10,64,,"$4,688",$64B,5.0%,$339,338,0.004,47%,0.195,78,67,114%,1,0.151,0.711,0.138,9.5M,75.5%,Europe,$1B,$1B,12/1/2012
1.2%,21%,,Below Threshold,"$6,514",Below 1.5%,75,Very Friendly,Montenegro,10,50,,"$4,688",$4B,7.6%,$493,320,0.005,57%,0.096,77,72,160%,1,0.19,0.682,0.128,0.6M,63.5%,Europe,$1B,$0B,12/1/2012
1.2%,22%,,Below Threshold,"$20,166",Below 1.5%,80,Very Friendly,Cyprus,8,38,,"$18,752",$23B,7.3%,"$1,949",147,0.003,61%,,82,78,98%,1,0.172,0.708,0.12,1.1M,67.3%,Europe,$3B,$2B,12/1/2012
1.2%,41%,,Below Threshold,"$99,630",Below 1.5%,82,Very Friendly,Norway,7,7,29818,"$98,448",$500B,9.0%,"$9,055",87,0.002,95%,,84,80,117%,1,0.186,0.659,0.155,5.0M,79.7%,Europe,$5B,$18B,12/1/2012
1.2%,52%,,Below Threshold,"$55,046",Below 1.5%,82,Very Friendly,Sweden,16,14,48877,"$51,568",$524B,9.6%,"$5,319",122,0.002,93%,,84,80,125%,1,0.167,0.644,0.189,9.5M,85.4%,Europe,$12B,$18B,12/1/2012
1.3%,54%,,Below Threshold,"$14,108",Below 1.5%,71,Moderate,Russia,18,111,,"$14,064","$2,020B",6.3%,$887,177,0.009,64%,0.091,76,65,145%,1,0.154,0.716,0.13,143.2M,73.8%,Europe,$18B,$48B,12/1/2012
1.3%,32%,,Below Threshold,"$4,406",Below 1.5%,77,Friendly,Albania,5,82,,$0,$12B,6.0%,$228,357,0.014,55%,0.109,80,74,111%,1,0.213,0.681,0.106,2.8M,54.3%,Europe,$2B,$1B,12/1/2012
1.3%,65%,,Below Threshold,"$39,740",Below 1.5%,83,Very Friendly,France,7,35,251706,"$37,504","$2,610B",11.7%,"$4,690",132,0.004,81%,,86,79,97%,1,0.183,0.643,0.175,65.7M,78.8%,Europe,$64B,$47B,12/1/2012
1.3%,35%,,Below Threshold,"$38,621",Below 1.5%,82,Very Friendly,United Kingdom,12,11,192381,"$37,504","$2,460B",9.4%,"$3,647",110,0.004,88%,0.005,84,80,125%,1,0.175,0.653,0.172,63.7M,81.8%,Europe,$46B,$66B,12/1/2012
1.3%,,,Below Threshold,,Below 1.5%,83,Not Clustered,Faeroe Islands,,,,,,,,,,85%,,85,80,119%,1,,,,0.0M,41.3%,Europe,,,12/1/2012
1.4%,31%,,Below Threshold,"$42,362",Below 1.5%,83,Very Friendly,Iceland,5,13,6021,"$42,192",$14B,9.1%,"$3,872",140,0.002,96%,0.083,84,82,108%,1,0.207,0.667,0.126,0.3M,93.8%,Europe,$1B,$1B,12/1/2012
1.6%,26%,,Below Threshold,"$46,001",1.5-3%,81,Very Friendly,Ireland,10,15,13350,"$42,192",$211B,8.1%,"$3,708",80,0.003,77%,,83,79,107%,1,0.215,0.667,0.118,4.6M,62.4%,Europe,$9B,$6B,12/1/2012
1.7%,40%,,Below Threshold,"$10,663",1.5-3%,75,Friendly,Turkey,6,72,115701,"$9,376",$789B,6.3%,$665,226,0.017,45%,,78,72,92%,1,0.26,0.667,0.073,74.0M,71.8%,Europe,$32B,$5B,12/1/2012
1.8%,15%,,Below Threshold,"$3,567",1.5-3%,71,Friendly,Kosovo,52,96,,$0,$6B,,,164,,,0.129,73,68,,1,,,,1.8M,,Europe,,,12/1/2012
1.4%,35%,16245,Below Threshold,"$5,339",Below 1.5%,77,Moderate,Lebanon,46,,5023,"$4,688",$21B,7.8%,$420,180,0.012,10%,0.106,79,75,25%,1,0.279,0.646,0.075,4.0M,86.6%,Middle East,$6B,$4B,12/1/2005
1.5%,,51881,Below Threshold,"$54,229",1.5-3%,78,Very Friendly,Qatar,,,16638,"$51,568",$45B,3.0%,"$1,634",,0.009,25%,0.067,78,77,87%,1,0.237,0.749,0.014,0.8M,97.4%,Middle East,$1B,$2B,12/1/2005
1.6%,14%,116149,Below Threshold,"$43,626",1.5-3%,76,Very Friendly,United Arab Emirates,19,,43231,"$42,192",$181B,2.3%,"$1,030",12,0.008,40%,,77,75,109%,1,0.2,0.791,0.008,4.1M,82.3%,Middle East,$3B,$6B,12/1/2005
1.8%,44%,469328,Below Threshold,"$2,737",1.5-3%,72,Low,Iran,28,,172442,$0,$192B,5.3%,$156,344,0.022,8%,0.16,73,70,12%,1,0.258,0.693,0.049,70.2M,67.6%,Middle East,$1B,$4B,12/1/2005
1.9%,,19208,Below Threshold,"$18,156",1.5-3%,76,Very Friendly,Bahrain,,,7332,"$14,064",$16B,3.7%,$573,,0.009,21%,0.078,76,75,87%,1,0.269,0.709,0.022,0.9M,88.4%,Middle East,$2B,$1B,12/1/2005
2.1%,11%,71547,Below Threshold,"$35,186",1.5-3%,74,Moderate,Kuwait,35,,26399,"$32,816",$81B,2.4%,$834,98,0.01,26%,0.075,75,73,60%,1,0.255,0.712,0.033,2.3M,98.2%,Middle East,$0B,$5B,12/1/2005
2.1%,39%,60245,Below Threshold,"$19,336",1.5-3%,80,Very Friendly,Israel,20,,18478,"$18,752",$134B,7.7%,"$1,480",230,0.005,25%,0.068,82,78,118%,1,0.279,0.621,0.1,6.9M,91.5%,Middle East,$3B,$4B,12/1/2005
2.2%,20%,29893,Below Threshold,"$12,253",1.5-3%,75,Very Friendly,Oman,35,,10772,"$9,376",$31B,2.6%,$331,52,0.011,7%,0.071,77,72,53%,1,0.351,0.624,0.025,2.5M,72.4%,Middle East,$1B,$1B,12/1/2005
2.3%,15%,397642,Below Threshold,"$13,285",1.5-3%,74,Very Friendly,Saudi Arabia,67,,145540,"$9,376",$328B,3.5%,$466,69,0.017,13%,,76,72,57%,1,0.343,0.626,0.031,24.7M,81.0%,Middle East,$5B,$9B,12/1/2005
2.7%,43%,50634,Below Threshold,"$1,589",1.5-3%,75,Low,Syria,43,,20792,$0,$29B,4.1%,$63,336,0.016,6%,0.08,77,73,16%,1,0.386,0.58,0.034,18.2M,53.8%,Middle East,$2B,$1B,12/1/2005
3.0%,31%,21027,Below Threshold,"$2,325",Above 3%,73,Moderate,Jordan,16,,6677,$0,$13B,8.9%,$213,136,0.02,13%,0.076,74,71,60%,1,0.379,0.589,0.032,5.4M,81.2%,Middle East,$2B,$1B,12/1/2005
3.4%,24%,114770,Below Threshold,"$1,825",Above 3%,70,Low,Iraq,32,,26866,$0,$50B,4.1%,$55,312,0.033,1%,0.137,72,67,6%,1,0.419,0.546,0.035,27.4M,68.8%,Middle East,$0B,$1B,12/1/2005
3.5%,195%,20044,Below Threshold,$832,Above 3%,62,Not Clustered,Yemen,63,,6589,$0,$17B,4.6%,$42,248,0.056,1%,0.18,63,60,11%,1,0.457,0.517,0.026,20.1M,28.9%,Middle East,$0B,$0B,12/1/2005
1.4%,35%,14499,Below Threshold,"$5,342",Below 1.5%,78,Moderate,Lebanon,46,,4774,"$4,688",$22B,8.1%,$443,180,0.011,15%,0.103,80,76,27%,1,0.274,0.65,0.076,4.1M,86.7%,Middle East,$5B,$4B,12/1/2006
1.4%,,56736,Below Threshold,"$62,921",Below 1.5%,78,Very Friendly,Qatar,,,19606,"$60,944",$61B,2.6%,"$1,625",,0.009,29%,0.072,78,77,95%,1,0.21,0.778,0.013,1.0M,97.8%,Middle East,$1B,$4B,12/1/2006
1.6%,14%,123875,Below Threshold,"$45,532",1.5-3%,76,Very Friendly,United Arab Emirates,19,,45911,"$42,192",$222B,2.3%,"$1,109",12,0.008,52%,,77,75,113%,1,0.18,0.813,0.007,4.9M,82.6%,Middle East,$5B,$9B,12/1/2006
1.8%,44%,509889,Below Threshold,"$3,142",1.5-3%,72,Low,Iran,28,,180242,$0,$223B,5.1%,$174,344,0.021,9%,0.14,74,70,22%,1,0.249,0.701,0.05,71.0M,68.2%,Middle East,$1B,$5B,12/1/2006
1.8%,,19497,Below Threshold,"$19,460",1.5-3%,76,Very Friendly,Bahrain,,,8093,"$18,752",$19B,3.6%,$599,,0.009,28%,0.08,76,75,95%,1,0.252,0.727,0.022,1.0M,88.4%,Middle East,$2B,$1B,12/1/2006
2.1%,11%,73769,Below Threshold,"$42,193",1.5-3%,74,Moderate,Kuwait,35,,25780,"$42,192",$102B,2.2%,$943,98,0.01,29%,0.086,75,73,49%,1,0.255,0.715,0.031,2.4M,98.2%,Middle East,$1B,$6B,12/1/2006
2.1%,38%,65977,Below Threshold,"$21,407",1.5-3%,86,Very Friendly,Israel,20,,20380,"$18,752",$151B,7.4%,"$1,524",230,0.004,28%,0.081,83,88,124%,1,0.277,0.622,0.101,7.1M,91.6%,Middle East,$4B,$4B,12/1/2006
2.2%,20%,39604,Below Threshold,"$14,405",1.5-3%,75,Very Friendly,Oman,35,,15183,"$14,064",$37B,2.3%,$346,52,0.011,8%,0.074,77,73,71%,1,0.34,0.635,0.025,2.6M,73.0%,Middle East,$1B,$1B,12/1/2006
2.3%,15%,432739,Below Threshold,"$14,859",1.5-3%,74,Very Friendly,Saudi Arabia,42,,158214,"$14,064",$377B,3.7%,$537,79,0.016,20%,,76,72,78%,1,0.335,0.634,0.03,25.4M,81.2%,Middle East,$5B,$13B,12/1/2006
2.7%,43%,53590,Below Threshold,"$1,773",1.5-3%,75,Low,Syria,43,,21630,$0,$33B,3.8%,$66,336,0.015,8%,0.08,77,73,25%,1,0.38,0.585,0.034,18.8M,54.2%,Middle East,$2B,$1B,12/1/2006
3.0%,31%,20733,Below Threshold,"$2,720",Above 3%,73,Moderate,Jordan,16,,6853,$0,$15B,8.1%,$224,136,0.02,14%,0.082,74,71,80%,1,0.374,0.594,0.032,5.5M,81.4%,Middle East,$2B,$1B,12/1/2006
3.4%,28%,99544,Below Threshold,"$2,321",Above 3%,69,Low,Iraq,32,,21503,$0,$65B,3.0%,$58,312,0.033,1%,0.145,72,66,33%,1,0.418,0.547,0.034,28.1M,68.8%,Middle East,$0B,$1B,12/1/2006
3.5%,48%,20796,Below Threshold,$924,Above 3%,62,Not Clustered,Yemen,63,,7054,$0,$19B,4.8%,$52,248,0.054,1%,0.18,63,60,14%,1,0.449,0.524,0.026,20.7M,29.5%,Middle East,$0B,$0B,12/1/2006
1.3%,35%,14972,Below Threshold,"$5,937",Below 1.5%,78,Moderate,Lebanon,46,,4206,"$4,688",$25B,8.0%,$480,180,0.011,19%,0.103,80,76,30%,1,0.266,0.655,0.078,4.1M,86.8%,Middle East,$6B,$4B,12/1/2007
1.3%,11%,67242,Below Threshold,"$69,167",Below 1.5%,78,Very Friendly,Qatar,7,,22790,"$65,632",$80B,2.3%,"$1,600",36,0.008,37%,0.074,79,77,110%,1,0.183,0.805,0.012,1.2M,98.0%,Middle East,,,12/1/2007
1.6%,14%,139405,Below Threshold,"$44,503",1.5-3%,76,Very Friendly,United Arab Emirates,18,,51975,"$42,192",$258B,2.5%,"$1,184",12,0.008,61%,,77,75,133%,1,0.162,0.833,0.005,5.8M,83.0%,Middle East,$6B,$11B,12/1/2007
1.8%,15%,22398,Below Threshold,"$21,050",1.5-3%,76,Very Friendly,Bahrain,9,,8962,"$18,752",$22B,3.6%,$648,36,0.009,33%,0.083,77,75,108%,1,0.233,0.746,0.021,1.0M,88.4%,Middle East,$2B,$1B,12/1/2007
1.9%,44%,539790,Below Threshold,"$3,983",1.5-3%,72,Low,Iran,28,,190620,$0,$286B,5.1%,$220,344,0.019,10%,0.12,74,70,42%,1,0.242,0.707,0.051,71.8M,68.9%,Middle East,$2B,$7B,12/1/2007
2.1%,11%,75236,Below Threshold,"$45,011",1.5-3%,74,Moderate,Kuwait,35,,26389,"$42,192",$115B,2.1%,$954,98,0.01,35%,0.085,75,73,56%,1,0.254,0.718,0.028,2.6M,98.2%,Middle East,$1B,$7B,12/1/2007
2.1%,35%,66424,Below Threshold,"$24,373",1.5-3%,85,Very Friendly,Israel,20,,20700,"$23,440",$175B,7.5%,"$1,730",230,0.004,48%,0.069,82,88,129%,1,0.275,0.623,0.102,7.2M,91.6%,Middle East,$4B,$5B,12/1/2007
2.2%,15%,393535,Below Threshold,"$16,052",1.5-3%,75,Very Friendly,Saudi Arabia,20,,144109,"$14,064",$416B,3.7%,$566,79,0.016,30%,,76,73,110%,1,0.328,0.642,0.03,25.9M,81.4%,Middle East,$7B,$21B,12/1/2007
2.2%,12%,44587,Below Threshold,"$16,306",1.5-3%,75,Very Friendly,Oman,35,,17583,"$14,064",$42B,2.5%,$403,62,0.01,17%,0.073,77,73,97%,1,0.327,0.649,0.024,2.6M,73.5%,Middle East,$1B,$1B,12/1/2007
2.6%,43%,57429,Below Threshold,"$2,066",1.5-3%,75,Low,Syria,43,,22803,$0,$40B,3.8%,$79,336,0.015,12%,0.102,77,73,32%,1,0.373,0.592,0.035,19.6M,54.5%,Middle East,$3B,$1B,12/1/2007
3.0%,31%,21540,Below Threshold,"$3,023",Above 3%,73,Moderate,Jordan,13,,7209,$0,$17B,8.3%,$252,136,0.019,20%,0.087,75,71,84%,1,0.368,0.6,0.033,5.7M,81.7%,Middle East,$3B,$1B,12/1/2007
3.4%,48%,21712,Below Threshold,"$1,210",Above 3%,62,Not Clustered,Yemen,63,,7014,$0,$26B,4.9%,$57,248,0.052,5%,0.18,63,61,21%,1,0.442,0.532,0.026,21.2M,30.0%,Middle East,$0B,$0B,12/1/2007
3.4%,28%,62834,Below Threshold,"$3,091",Above 3%,69,Low,Iraq,32,,23696,$0,$89B,3.7%,$95,312,0.032,1%,0.195,72,66,49%,1,0.417,0.548,0.034,28.7M,68.9%,Middle East,$1B,$1B,12/1/2007
1.3%,36%,16656,Below Threshold,"$6,887",Below 1.5%,79,Moderate,Lebanon,11,,5426,"$4,688",$29B,7.5%,$529,180,0.01,23%,0.1,81,76,34%,1,0.257,0.662,0.081,4.2M,86.9%,Middle East,$6B,$4B,12/1/2008
1.3%,11%,67997,Below Threshold,"$84,614",Below 1.5%,78,Very Friendly,Qatar,7,,23642,"$84,384",$115B,1.9%,"$1,590",36,0.008,44%,0.068,79,77,105%,1,0.161,0.827,0.012,1.4M,98.3%,Middle East,,,12/1/2008
1.6%,14%,158935,Below Threshold,"$46,333",1.5-3%,76,Very Friendly,United Arab Emirates,18,,58347,"$42,192",$315B,2.7%,"$1,353",12,0.008,63%,,77,75,138%,1,0.149,0.847,0.004,6.8M,83.4%,Middle East,$7B,$13B,12/1/2008
1.7%,14%,24301,Below Threshold,"$23,038",1.5-3%,76,Very Friendly,Bahrain,9,,9771,"$18,752",$26B,4.1%,$727,36,0.008,52%,0.082,77,75,129%,1,0.217,0.763,0.021,1.1M,88.5%,Middle East,$2B,$1B,12/1/2008
1.9%,44%,570574,Below Threshold,"$4,899",1.5-3%,73,Low,Iran,28,,204312,"$4,688",$356B,6.4%,$313,344,0.018,10%,0.12,74,71,59%,1,0.239,0.71,0.051,72.7M,69.5%,Middle East,$2B,$8B,12/1/2008
2.1%,11%,79959,Below Threshold,"$54,400",1.5-3%,74,Moderate,Kuwait,35,,28843,"$51,568",$147B,1.9%,"$1,049",98,0.01,42%,0.076,75,73,56%,1,0.254,0.721,0.025,2.7M,98.2%,Middle East,$1B,$8B,12/1/2008
2.2%,15%,418240,Below Threshold,"$19,722",1.5-3%,75,Very Friendly,Saudi Arabia,20,,154076,"$18,752",$520B,3.1%,$566,79,0.016,36%,,76,73,137%,1,0.32,0.65,0.03,26.4M,81.6%,Middle East,$7B,$16B,12/1/2008
2.2%,22%,41067,Below Threshold,"$23,421",1.5-3%,76,Very Friendly,Oman,14,,18679,"$18,752",$61B,2.1%,$473,62,0.01,20%,0.071,78,73,124%,1,0.311,0.665,0.024,2.6M,74.1%,Middle East,$1B,$1B,12/1/2008
2.2%,33%,70938,Below Threshold,"$29,143",1.5-3%,81,Very Friendly,Israel,20,,22868,"$28,128",$213B,7.6%,"$2,076",230,0.004,59%,0.066,83,79,126%,1,0.274,0.624,0.103,7.3M,91.7%,Middle East,$6B,$5B,12/1/2008
2.6%,40%,67700,Below Threshold,,1.5-3%,75,Low,Syria,16,,23052,,,3.4%,$90,336,0.014,14%,0.102,77,73,35%,1,0.367,0.598,0.036,20.3M,54.9%,Middle East,$3B,$1B,12/1/2008
3.0%,31%,20763,Below Threshold,"$3,797",Above 3%,74,Moderate,Jordan,13,,7069,$0,$22B,8.8%,$326,136,0.019,23%,0.09,75,72,90%,1,0.362,0.605,0.033,5.8M,82.0%,Middle East,$4B,$1B,12/1/2008
3.3%,48%,22207,Below Threshold,"$1,401",Above 3%,62,Not Clustered,Yemen,13,,7208,$0,$30B,5.1%,$69,248,0.05,7%,0.18,63,61,30%,1,0.434,0.539,0.027,21.7M,30.6%,Middle East,$1B,$0B,12/1/2008
3.3%,28%,94444,Below Threshold,"$4,485",Above 3%,69,Low,Iraq,32,,28806,$0,$132B,3.9%,$142,312,0.031,1%,0.195,72,65,60%,1,0.416,0.549,0.034,29.4M,68.9%,Middle East,$1B,$1B,12/1/2008
1.2%,11%,66120,Below Threshold,"$62,528",Below 1.5%,78,Very Friendly,Qatar,7,,24942,"$60,944",$98B,2.6%,"$1,647",36,0.008,53%,0.07,79,77,125%,1,0.146,0.843,0.011,1.6M,98.5%,Middle East,,,12/1/2009
1.3%,30%,20917,Below Threshold,"$8,274",Below 1.5%,79,Moderate,Lebanon,9,,6652,"$4,688",$35B,7.4%,$604,180,0.009,30%,0.096,81,77,56%,1,0.247,0.67,0.083,4.2M,87.1%,Middle East,$7B,$5B,12/1/2009
1.6%,14%,162602,Below Threshold,"$33,038",1.5-3%,76,Very Friendly,United Arab Emirates,15,,60672,"$32,816",$255B,3.4%,"$1,336",12,0.008,64%,,77,75,138%,1,0.141,0.855,0.004,7.7M,83.7%,Middle East,$7B,$10B,12/1/2009
1.7%,14%,24169,Below Threshold,"$19,251",1.5-3%,76,Very Friendly,Bahrain,9,,9340,"$18,752",$23B,4.5%,$729,36,0.007,53%,0.079,77,75,118%,1,0.205,0.775,0.02,1.2M,88.5%,Middle East,$2B,$1B,12/1/2009
1.9%,44%,577483,Below Threshold,"$4,936",1.5-3%,73,Low,Iran,9,,213423,"$4,688",$363B,7.2%,$357,344,0.017,11%,0.12,75,71,72%,1,0.237,0.712,0.051,73.5M,70.0%,Middle East,$2B,$9B,12/1/2009
2.1%,11%,81869,Below Threshold,"$37,192",1.5-3%,74,Moderate,Kuwait,35,,30815,"$32,816",$106B,3.9%,"$1,463",98,0.01,51%,0.062,75,73,92%,1,0.253,0.724,0.023,2.9M,98.2%,Middle East,$1B,$7B,12/1/2009
2.1%,15%,431027,Below Threshold,"$16,010",1.5-3%,75,Very Friendly,Saudi Arabia,21,,175675,"$14,064",$429B,4.1%,$582,79,0.015,38%,,77,73,167%,1,0.313,0.657,0.03,26.8M,81.9%,Middle East,$7B,$21B,12/1/2009
2.2%,22%,40264,Below Threshold,"$18,114",1.5-3%,76,Very Friendly,Oman,12,,18279,"$14,064",$48B,3.0%,$511,62,0.01,27%,0.074,78,74,149%,1,0.292,0.683,0.024,2.7M,74.6%,Middle East,$1B,$1B,12/1/2009
2.2%,32%,67029,Below Threshold,"$27,520",1.5-3%,82,Very Friendly,Israel,20,,21463,"$23,440",$206B,7.6%,"$1,973",230,0.004,63%,0.042,83,80,124%,1,0.272,0.624,0.104,7.5M,91.8%,Middle East,$5B,$4B,12/1/2009
2.5%,40%,62112,Below Threshold,,1.5-3%,75,Low,Syria,15,,21233,,,3.5%,$95,336,0.014,17%,0.1,77,73,48%,1,0.361,0.602,0.036,21.0M,55.3%,Middle East,$4B,$1B,12/1/2009
2.9%,31%,21254,Below Threshold,"$4,027",1.5-3%,74,Moderate,Jordan,12,,7458,$0,$24B,9.5%,$368,136,0.018,26%,0.092,75,72,97%,1,0.356,0.61,0.034,5.9M,82.2%,Middle East,$3B,$1B,12/1/2009
3.3%,48%,23058,Below Threshold,"$1,252",Above 3%,63,Not Clustered,Yemen,12,,7764,$0,$28B,5.3%,$65,248,0.048,10%,0.18,64,61,37%,1,0.427,0.547,0.027,22.2M,31.2%,Middle East,$1B,$0B,12/1/2009
3.3%,28%,106651,Below Threshold,"$3,713",Above 3%,69,Low,Iraq,32,,32846,$0,$112B,4.6%,$143,312,0.031,1%,0.156,72,65,67%,1,0.415,0.551,0.034,30.2M,69.0%,Middle East,$1B,$1B,12/1/2009
1.2%,11%,70531,Below Threshold,"$71,440",Below 1.5%,78,Very Friendly,Qatar,10,,28973,"$70,320",$125B,2.1%,"$1,496",36,0.008,69%,0.073,79,77,125%,1,0.137,0.852,0.011,1.7M,98.7%,Middle East,,,12/1/2010
1.3%,30%,20403,Below Threshold,"$8,756",Below 1.5%,79,Moderate,Lebanon,9,,6382,"$4,688",$38B,7.2%,$620,180,0.009,44%,0.083,81,77,66%,1,0.237,0.678,0.084,4.3M,87.2%,Middle East,$8B,$5B,12/1/2010
1.6%,14%,24202,Below Threshold,"$20,546",1.5-3%,77,Very Friendly,Bahrain,9,,9472,"$18,752",$26B,4.3%,$747,36,0.007,55%,0.072,77,76,125%,1,0.199,0.781,0.02,1.3M,88.5%,Middle East,$2B,$1B,12/1/2010
1.6%,14%,167597,Below Threshold,"$33,999",1.5-3%,77,Very Friendly,United Arab Emirates,15,,63099,"$32,816",$287B,3.2%,"$1,283",12,0.008,68%,,78,76,129%,1,0.139,0.858,0.003,8.4M,84.1%,Middle East,$9B,$12B,12/1/2010
1.9%,44%,571612,Below Threshold,"$5,681",1.5-3%,73,Low,Iran,11,,210678,"$4,688",$423B,7.3%,$416,344,0.016,15%,0.12,75,71,73%,1,0.236,0.712,0.052,74.5M,70.6%,Middle East,$3B,$11B,12/1/2010
2.1%,11%,93696,Below Threshold,"$40,113",1.5-3%,74,Moderate,Kuwait,35,,32586,"$37,504",$120B,2.8%,"$1,116",98,0.009,61%,0.049,75,73,133%,1,0.252,0.726,0.021,3.0M,98.3%,Middle East,$1B,$7B,12/1/2010
2.1%,15%,464481,Below Threshold,"$19,333",1.5-3%,75,Very Friendly,Saudi Arabia,21,,192004,"$18,752",$527B,4.0%,$663,79,0.015,41%,,77,73,189%,1,0.307,0.663,0.03,27.3M,82.1%,Middle East,$8B,$22B,12/1/2010
2.2%,22%,57202,Below Threshold,"$20,984",1.5-3%,76,Very Friendly,Oman,12,,23158,"$18,752",$59B,2.8%,$582,62,0.01,36%,0.068,78,74,164%,1,0.274,0.701,0.025,2.8M,75.2%,Middle East,$1B,$2B,12/1/2010
2.2%,31%,70656,Below Threshold,"$30,432",1.5-3%,82,Very Friendly,Israel,20,,23195,"$28,128",$232B,7.6%,"$2,165",235,0.004,68%,0.05,84,80,123%,1,0.272,0.623,0.104,7.6M,91.8%,Middle East,$6B,$5B,12/1/2010
2.5%,40%,61859,Below Threshold,,1.5-3%,75,Low,Syria,13,,21649,,,3.4%,$97,336,0.013,21%,0.099,78,72,54%,1,0.357,0.605,0.037,21.5M,55.7%,Middle East,$6B,$2B,12/1/2010
2.9%,31%,20821,Below Threshold,"$4,371",1.5-3%,74,Moderate,Jordan,12,,7105,$0,$26B,8.5%,$361,136,0.018,27%,0.09,75,72,103%,1,0.351,0.615,0.034,6.0M,82.5%,Middle East,$4B,$2B,12/1/2010
3.2%,48%,21852,Below Threshold,"$1,395",Above 3%,63,Not Clustered,Yemen,12,,8360,$0,$32B,5.1%,$66,248,0.046,12%,0.238,64,61,49%,1,0.42,0.553,0.027,22.8M,31.7%,Middle East,$1B,$0B,12/1/2010
3.2%,28%,114667,Below Threshold,"$4,619",Above 3%,69,Low,Iraq,32,,37845,$0,$143B,3.1%,$141,312,0.03,3%,0.133,73,65,75%,1,0.412,0.554,0.034,31.0M,69.0%,Middle East,$2B,$2B,12/1/2010
1.1%,11%,,Below Threshold,"$88,963",Below 1.5%,78,Very Friendly,Qatar,9,,33285,"$84,384",$170B,1.9%,"$1,738",36,0.007,69%,0.055,79,77,121%,1,0.134,0.856,0.01,1.9M,98.8%,Middle East,$4B,$8B,12/1/2011
1.3%,30%,,Below Threshold,"$9,145",Below 1.5%,80,Moderate,Lebanon,9,,6349,"$4,688",$40B,7.4%,$646,180,0.009,52%,0.075,82,77,77%,1,0.227,0.688,0.085,4.4M,87.3%,Middle East,$7B,$4B,12/1/2011
1.6%,14%,,Below Threshold,"$22,467",1.5-3%,77,Very Friendly,Bahrain,9,,9506,"$18,752",$29B,3.8%,$766,36,0.006,77%,0.068,77,76,131%,1,0.198,0.781,0.021,1.3M,88.6%,Middle East,$2B,$1B,12/1/2011
1.6%,14%,,Below Threshold,"$39,103",1.5-3%,77,Very Friendly,United Arab Emirates,13,,66108,"$37,504",$349B,3.1%,"$1,375",12,0.007,78%,,78,76,131%,1,0.14,0.857,0.003,8.9M,84.4%,Middle East,,,12/1/2011
1.9%,44%,,Below Threshold,"$7,000",1.5-3%,74,Low,Iran,11,,212145,"$4,688",$528B,6.8%,$483,344,0.016,21%,0.11,75,72,74%,1,0.236,0.712,0.052,75.4M,71.2%,Middle East,$3B,$11B,12/1/2011
2.0%,15%,,Below Threshold,"$24,134",1.5-3%,76,Very Friendly,Saudi Arabia,21,,187070,"$23,440",$670B,3.5%,$721,79,0.014,48%,,77,74,194%,1,0.302,0.669,0.029,27.8M,82.3%,Middle East,$9B,$18B,12/1/2011
2.1%,11%,,Below Threshold,"$51,525",1.5-3%,74,Moderate,Kuwait,32,,32523,"$46,880",$161B,2.6%,"$1,349",98,0.009,66%,0.052,75,73,158%,1,0.251,0.728,0.021,3.1M,98.3%,Middle East,$1B,$9B,12/1/2011
2.1%,30%,,Below Threshold,"$33,223",1.5-3%,82,Very Friendly,Israel,20,,23254,"$32,816",$258B,7.6%,"$2,373",235,0.003,69%,0.06,84,80,122%,1,0.273,0.622,0.105,7.8M,91.9%,Middle East,$6B,$5B,12/1/2011
2.2%,22%,,Below Threshold,"$23,133",1.5-3%,77,Very Friendly,Oman,8,,25276,"$18,752",$70B,2.4%,$610,62,0.01,48%,0.062,79,74,159%,1,0.257,0.717,0.026,3.0M,75.7%,Middle East,$2B,$2B,12/1/2011
2.5%,40%,,Below Threshold,,1.5-3%,75,Low,Syria,13,,19986,,,3.4%,$102,336,0.013,23%,,78,72,59%,1,0.355,0.607,0.038,22.0M,56.1%,Middle East,,,12/1/2011
2.8%,28%,,Below Threshold,"$4,666",1.5-3%,74,Moderate,Jordan,12,,7064,$0,$29B,8.8%,$386,151,0.017,35%,0.087,75,72,111%,1,0.346,0.62,0.034,6.2M,82.7%,Middle East,$4B,$1B,12/1/2011
